Month,Total Gallons,Postal Code
6/1/2012,3280500,78741
6/1/2012,64634700,78739
6/1/2012,5840500,78748
6/1/2012,63621100,78704
6/1/2012,53100,78652
6/1/2012,43800,78717
6/1/2012,9000,78732
6/1/2012,7525300,78728
6/1/2012,11904000,78705
6/1/2012,15281100,78756
6/1/2012,12000,78748
6/1/2012,13944800,78703
6/1/2012,19952800,78752
6/1/2012,6725600,78727
6/1/2012,35317700,78729
6/1/2012,1207200,78746
6/1/2012,48443200,78758
6/1/2012,204500,78730
6/1/2012,20478200,78727
6/1/2012,258200,78721
6/1/2012,68200,78726
6/1/2012,11900,78749
6/1/2012,32418900,78702
6/1/2012,31600,78750
6/1/2012,899400,78702
6/1/2012,21300,78721
6/1/2012,1929800,78703
6/1/2012,191100,78705
6/1/2012,57444700,78758
6/1/2012,200,78753
6/1/2012,525900,78719
6/1/2012,7300,78727
6/1/2012,5362300,78717
6/1/2012,60736700,78717
6/1/2012,277800,78736
6/1/2012,1620700,78701
6/1/2012,81863700,78741
6/1/2012,192600,78747
6/1/2012,152600,78722
6/1/2012,2790700,78725
6/1/2012,971300,78731
6/1/2012,495600,78705
6/1/2012,86600,78751
6/1/2012,31844800,78747
6/1/2012,19900,78736
6/1/2012,4085700,78729
6/1/2012,5230700,78730
6/1/2012,1588400,78728
6/1/2012,30800,78702
6/1/2012,60300,78756
6/1/2012,2185600,78754
6/1/2012,2197800,78704
6/1/2012,23000,78613
6/1/2012,78300,78757
6/1/2012,35020700,78735
6/1/2012,3920800,78726
6/1/2012,16272900,78746
6/1/2012,1710600,78759
6/1/2012,0,78754
6/1/2012,3422200,78758
6/1/2012,21800,78660
6/1/2012,906500,78652
6/1/2012,240000,78759
6/1/2012,18978600,78721
6/1/2012,2600,78744
6/1/2012,45257500,78723
6/1/2012,21802700,78741
6/1/2012,6593700,78728
6/1/2012,55924100,78746
6/1/2012,48800,78733
6/1/2012,21913100,78730
6/1/2012,10501600,78660
6/1/2012,108700,78756
6/1/2012,59137000,78753
6/1/2012,5459900,78753
6/1/2012,15755025,78752
6/1/2012,16559300,78749
6/1/2012,30144900,78705
6/1/2012,1887300,78750
6/1/2012,22326200,78617
6/1/2012,59222200,78727
6/1/2012,341500,78751
6/1/2012,49503500,78757
6/1/2012,2067700,78730
6/1/2012,610600,78701
6/1/2012,170300,78653
6/1/2012,92227900,78748
6/1/2012,4024000,78745
6/1/2012,1523300,78653
6/1/2012,0,78712
6/1/2012,9485500,78702
6/1/2012,92554400,78750
6/1/2012,12992200,78751
6/1/2012,13177200,78750
6/1/2012,57865300,78744
6/1/2012,16048000,78757
6/1/2012,19039900,78731
6/1/2012,99883500,78745
6/1/2012,16848900,78754
6/1/2012,718200,78703
6/1/2012,14206600,78701
6/1/2012,5073200,78721
6/1/2012,19840300,78751
6/1/2012,77541500,78703
6/1/2012,109701200,78759
6/1/2012,99600100,78731
6/1/2012,849700,78742
6/1/2012,15880100,78748
